datacompleteness,side,teamname,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,firstblood,team kpm,ckpm,elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,damagetochampions,dpm,damagetakenperminute,totalgold,earnedgold,earned gpm,goldspent,gspd
complete,Red,Gen.G,2166,0,17,15,39,17,15,1.0,0.4709,0.8864,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,8.0,64648.0,1790.8033,2535.7895,62844,39371.0,1090.6094,61760.0,0.025167
complete,Blue,Gen.G,2887,1,20,24,44,20,24,0.0,0.4157,0.9144,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,10.0,5.0,122575.0,2547.4541,2961.6557,85927,55100.0,1145.1334,81410.0,0.00295239
complete,Red,Gen.G,2113,1,15,17,38,15,17,0.0,0.4259,0.9087,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,5.0,74666.0,2120.1893,2974.018,64447,41520.0,1178.9872,58600.0,-0.00213083
complete,Red,Gen.G,2283,1,16,5,47,16,5,0.0,0.4205,0.5519,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,10.0,4.0,70491.0,1852.5887,2510.565,74783,50119.0,1317.1879,69705.0,0.120224
complete,Red,Gen.G,2047,1,14,8,32,14,8,1.0,0.4104,0.6448,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,9.0,3.0,78951.0,2314.1475,2194.382,66704,44444.0,1302.7064,60825.0,0.074611
complete,Blue,Gen.G,1922,0,5,14,10,5,14,0.0,0.1561,0.5931,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,42270.0,1319.563,2817.1592,51782,30803.0,961.5921,50385.0,-0.0839473
complete,Blue,Gen.G,2314,1,17,11,39,17,11,1.0,0.4408,0.726,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,10.0,0.0,97408.0,2525.7044,2787.5627,74328,49346.0,1279.4987,69330.0,0.141302
complete,Red,Gen.G,1704,1,18,5,46,18,5,1.0,0.6338,0.8099,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,9.0,2.0,54512.0,1919.4366,3149.4014,54888,36125.0,1272.007,47875.0,0.142657
complete,Blue,Gen.G,1669,1,13,3,30,13,3,1.0,0.4673,0.5752,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,3.0,43783.0,1573.9844,2219.0294,54829,36427.0,1309.5386,48885.0,0.1374
complete,Red,Gen.G,1928,1,10,3,25,10,3,1.0,0.3112,0.4046,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,1.0,61328.0,1908.5477,2182.5,58195,37151.0,1156.1515,48760.0,0.021978
complete,Red,Gen.G,2562,0,6,17,11,6,17,0.0,0.1405,0.5386,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,6.0,8.0,76827.0,1799.2272,2700.2108,71123,43612.0,1021.3583,72185.0,-0.0163506
complete,Blue,Gen.G,2259,0,7,14,22,7,14,0.0,0.1859,0.5578,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,58111.0,1543.4529,2474.0239,59835,35411.0,940.5312,58040.0,-0.0792587
complete,Red,Gen.G,1891,0,5,18,9,5,18,0.0,0.1586,0.7298,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,58304.0,1849.9418,2455.7483,51703,31036.0,984.7488,50330.0,-0.133991
